      a              nc             DSm            Smult          DKa            a              dadN
      0.125E+00      0.141E+04      0.196E+03      0.100E+01      0.136E+03      0.125E+00      0.000E+00
      0.125E+00      0.141E+04      0.190E+03      0.100E+01      0.132E+03      0.125E+00      0.000E+00
      0.125E+00      0.381E+05      0.180E+03      0.100E+01      0.125E+03      0.125E+00      0.000E+00
      0.125E+00      0.473E+05      0.170E+03      0.100E+01      0.118E+03      0.125E+00      0.000E+00
      0.125E+00      0.523E+05      0.160E+03      0.100E+01      0.111E+03      0.125E+00      0.000E+00
      0.125E+00      0.579E+05      0.150E+03      0.100E+01      0.104E+03      0.125E+00      0.000E+00
      0.125E+00      0.308E+06      0.140E+03      0.100E+01      0.972E+02      0.125E+00      0.000E+00
      0.125E+00      0.188E+07      0.130E+03      0.100E+01      0.903E+02      0.125E+00      0.000E+00
      0.125E+00      0.236E+08      0.120E+03      0.100E+01      0.833E+02      0.125E+00      0.000E+00
      0.125E+00      0.619E+08      0.110E+03      0.100E+01      0.764E+02      0.125E+00      0.000E+00
      0.125E+00      0.251E+08      0.100E+03      0.100E+01      0.694E+02      0.125E+00      0.000E+00
      0.125E+00      0.113E+03      0.196E+03      0.100E+01      0.136E+03      0.125E+00      0.000E+00
      0.125E+00      0.113E+03      0.190E+03      0.100E+01      0.132E+03      0.125E+00      0.000E+00
      0.125E+00      0.306E+04      0.180E+03      0.100E+01      0.125E+03      0.125E+00      0.000E+00
      0.125E+00      0.379E+04      0.170E+03      0.100E+01      0.118E+03      0.125E+00      0.000E+00
      0.125E+00      0.419E+04      0.160E+03      0.100E+01      0.111E+03      0.125E+00      0.000E+00
      0.125E+00      0.464E+04      0.150E+03      0.100E+01      0.104E+03      0.125E+00      0.000E+00
      0.125E+00      0.247E+05      0.140E+03      0.100E+01      0.972E+02      0.125E+00      0.000E+00
      0.125E+00      0.151E+06      0.130E+03      0.100E+01      0.903E+02      0.125E+00      0.000E+00
      0.125E+00      0.189E+07      0.120E+03      0.100E+01      0.833E+02      0.125E+00      0.000E+00
      0.125E+00      0.496E+07      0.110E+03      0.100E+01      0.764E+02      0.125E+00      0.000E+00
      0.125E+00      0.202E+07      0.100E+03      0.100E+01      0.694E+02      0.125E+00      0.000E+00
      0.125E+00      0.284E+03      0.196E+03      0.100E+01      0.136E+03      0.125E+00      0.000E+00
      0.125E+00      0.284E+03      0.190E+03      0.100E+01      0.132E+03      0.125E+00      0.000E+00
      0.125E+00      0.766E+04      0.180E+03      0.100E+01      0.125E+03      0.125E+00      0.000E+00
      0.125E+00      0.951E+04      0.170E+03      0.100E+01      0.118E+03      0.125E+00      0.000E+00
      0.125E+00      0.105E+05      0.160E+03      0.100E+01      0.111E+03      0.125E+00      0.000E+00
      0.125E+00      0.116E+05      0.150E+03      0.100E+01      0.104E+03      0.125E+00      0.000E+00
      0.125E+00      0.619E+05      0.140E+03      0.100E+01      0.972E+02      0.125E+00      0.000E+00
      0.125E+00      0.377E+06      0.130E+03      0.100E+01      0.903E+02      0.125E+00      0.000E+00
      0.125E+00      0.474E+07      0.120E+03      0.100E+01      0.833E+02      0.125E+00      0.000E+00
      0.125E+00      0.124E+08      0.110E+03      0.100E+01      0.764E+02      0.125E+00      0.000E+00
      0.125E+00      0.505E+07      0.100E+03      0.100E+01      0.694E+02      0.125E+00      0.000E+00
