 Calculations that do not match the inspection results.
 _______________________________________________________________________________
  # cycles to | as previous, | failure # cycles/ | as previous, |detected cracks
    failure   | period after | applied # cycles  | period after |in subsequent
              |  last insp.  |                   |  last insp.  |inspections
 _____________|______________|___________________|______________|_______________
    7.353E+07    4.588E+06         7.916E-01         1.917E-01   0    3
    8.073E+07    1.179E+07         8.692E-01         4.925E-01   2    0
    7.932E+07    1.038E+07         8.540E-01         4.334E-01   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.009E+07    1.115E+07         8.623E-01         4.659E-01   2    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.230E+07    1.336E+07         8.861E-01         5.582E-01   0    1
    8.610E+07    1.716E+07         9.270E-01         7.167E-01   1    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.203E+07    1.309E+07         8.832E-01         5.469E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.742E+07    8.481E+06         8.336E-01         3.543E-01   0    2
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    9.074E+07    2.179E+07         9.769E-01         9.104E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    8.404E+07    1.510E+07         9.048E-01         6.306E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.912E+07    2.018E+07         9.595E-01         8.429E-01   0    1
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    8.193E+07    1.299E+07         8.821E-01         5.427E-01   0    1
    8.966E+07    2.072E+07         9.654E-01         8.656E-01   1    0
    7.601E+07    7.071E+06         8.184E-01         2.954E-01   1    0
    8.456E+07    1.562E+07         9.104E-01         6.524E-01   0    1
    8.274E+07    1.380E+07         8.908E-01         5.764E-01   1    0
    8.649E+07    1.755E+07         9.312E-01         7.331E-01   1    0
    6.746E+07   -1.480E+06         7.263E-01        -6.182E-02   0    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    1
    7.756E+07    8.619E+06         8.350E-01         3.600E-01   0    2
    8.044E+07    1.150E+07         8.661E-01         4.804E-01   0    2
    8.970E+07    2.076E+07         9.658E-01         8.671E-01   1    0
    9.288E+07    2.394E+07         1.000E+00         1.000E+00   0    2
    8.890E+07    1.996E+07         9.572E-01         8.338E-01   1    0
    7.785E+07    8.910E+06         8.382E-01         3.722E-01   0    1
    7.273E+07    3.791E+06         7.831E-01         1.584E-01   0    1
    8.335E+07    1.441E+07         8.974E-01         6.020E-01   1    0
    2.558E+07   -4.336E+07         2.755E-01        -1.811E+00   0    0
    7.351E+07    4.565E+06         7.914E-01         1.907E-01   2    0
