 Waarschuwing:  701
 Beta =   3.71E+01
 Pf   =   1.00-300
  1  -0.02580  5.9000000E+02
  2  -0.02580  3.0000000E+00
  3  -0.02580  3.0000000E+00
  4  -0.02580  4.0326562E+01
  5  -0.02580  0.0000000E+00
  6  -0.02580  1.1750000E+02
  7  -0.02580  0.0000000E+00
  8  -0.02580  1.7648143E+01
  9  -0.02580  2.9711472E+02
 10  -0.02580  4.1586026E+02
 11  -0.02580  2.9340267E+01
 12  -0.02580  6.1180000E+07
 13  -0.02580  7.7610000E+06
 14  -0.02580  2.3940000E+07
 15  -0.02580  2.2245264E-01
 16  -0.02580  8.3198830E-01
 17  -0.02580  6.1720832E+00
 18  -0.02580  0.0000000E+00
 19  -0.02580  5.2124874E+00
 20  -0.02580  5.2059563E+01
